Index,FEN,Moves
33997,r4rk1/1p2bpp1/2p1pn1p/p2qN3/1n1PN3/7P/PPPBQPP1/1K1R3R w - - 4 20,c2c4 d5e4 e2e4 f6e4
33998,r4k2/1p2p1b1/p5Q1/2pPr3/P7/2N4b/1P6/R5K1 b - - 2 29,h3f5 a1f1 f8g8 f1f5 e5f5 g6f5
33999,8/6p1/4p2k/1p1pP3/p3p1KP/P1P5/1P4P1/8 w - - 1 42,g2g3 h6g6 g4f4 g6h5
34000,2k3r1/pp1bQ3/4p3/3pPr2/2pP4/2P2p2/P2N1K2/5N2 w - - 1 33,e7h7 g8g2 f2e1 d7a4 d2f3 f5f3
34001,r6k/1pp2Pp1/4bb1p/2n5/4N3/1P6/PP4PP/R4RK1 w - - 0 22,e4c5 f6d4 g1h1 d4c5
34002,6k1/2q2pp1/2p1n2p/2PpPN2/1r1P4/7P/6P1/Q4RK1 b - - 2 25,c7b8 f5e7 g8h7 e7c6
34003,1Bkr4/pp3p2/4q1p1/2p4r/P1PpP3/3P2Q1/2P3P1/R5K1 b - - 6 25,d8h8 g3c7
34004,r2q1rk1/bppbn3/3p1pp1/p2N3B/2PNP2P/P3P1P1/1P6/1R1Q1RK1 b - - 0 20,g6h5 d5f6 f8f6 f1f6
34005,2R5/6p1/2P4p/3kpK2/5p2/4rP2/8/8 b - - 0 44,e3c3 c8d8 d5c6 d8c8 c6d5 c8c3
34006,8/3rk2r/p2ppb1p/1p2p1p1/1PqnP3/P1NRBP2/2PR2PP/3Q2K1 w - - 9 31,d3d4 e5d4 c3d5 e6d5
34007,8/1PB5/2K1p3/4P2p/6p1/5kP1/1r6/8 b - - 0 56,f3g3 c7b6 h5h4 b7b8q
34008,6k1/p6p/1p3p2/2pb4/7q/2P1R3/P1P4P/2B2RK1 b - - 1 24,h7h5 e3g3 g8f7 f1f4 h4f4 c1f4
34009,3R4/p1r2pkp/1bN3p1/1P6/5Q2/4P2P/Pq3PP1/6K1 w - - 9 31,f4e5 b2e5 c6e5 c7c1 g1h2 b6d8
34010,8/3kpp2/p2n2p1/1pp5/5q2/2P2BP1/PP2QP2/3K4 b - - 0 28,f4f5 f3g4 e7e6 g4f5
34011,5R2/6p1/7p/1p1rk3/p7/P7/P1r3PP/4R1K1 b - - 1 37,e5d6 f8d8 d6c7 d8d5
34012,6k1/p4p1R/6p1/8/3pq3/2Q5/PP2r3/K4R2 w - - 0 32,c3h3 e2e1 f1e1 e4e1
34013,1r6/p3Ppk1/6p1/6Pp/3NP3/2K5/P5P1/8 b - - 0 30,f7f6 d4e6 g7f7 e6d8 f7e7 d8c6 e7e6 c6b8
34014,Q5k1/2r2ppp/8/1R6/4b3/6P1/7P/6K1 b - - 0 28,e4a8 b5b8 c7c8 b8c8
34015,4rrk1/1pp3pp/1p1p1p2/3P1bq1/2P5/1PQ1R3/PB3PPP/4R1K1 b - - 5 21,h7h5 e3e8 f8e8 e1e8
34016,2r1r3/1pnR4/p4ppk/P6p/1P1R2PP/5N2/5K2/8 b - - 0 40,c7b5 g4g5 f6g5 h4g5
34017,5r2/p1p2rk1/1p1p1q1p/3Pp3/2P1B1b1/4Q1P1/PP3PK1/R6R w - - 5 26,h1h4 f6f2 e3f2 f7f2
34018,8/3R3p/6pk/8/5PP1/2q4P/1p5K/8 b - - 0 46,b2b1q g4g5 h6h5 d7h7
34019,7r/2n3R1/k7/1pP1pP2/4BK2/8/7p/8 w - - 0 52,f4e5 h8e8 e5d6 e8e4
34020,2r2rk1/1p1q2bp/4pnp1/p2pB3/P1B5/4P3/1PQ2PPP/R2R2K1 w - - 1 23,c4b5 c8c2 b5d7 f6d7
34021,5rk1/p2p3p/1p2p1p1/4P2q/4B1R1/P5QP/1P6/6K1 w - - 0 34,e4g6 h7g6 g4g6 g8f7
34022,r4b1r/2q2k2/1RB2n1p/3pp1p1/4b1P1/3Q1N1P/P1P2P2/1R4K1 w - - 0 22,c6a8 e4d3 b6b7 c7b7 b1b7 f8e7 f3e5 f7e6 e5d3 h8a8
34023,7r/5pk1/6p1/1p2R3/p1p2n2/P4PN1/1PB2P1r/4R1K1 w - - 8 35,e5b5 h2g2 g1f1 h8h2
34024,4qrk1/3p3p/1p3p1Q/pP1Nn3/P1r1b1pR/8/6PP/5R1K b - - 1 33,e8g6 d5e7 g8f7 e7g6
34025,r2q1r1k/pb1p1p1p/1p2pPp1/2p2nQ1/5P2/2PB1R2/PP1B2PP/R5K1 b - - 2 20,h7h6 f3h3 h8g8 h3h6 d8f6 g5f6
34026,r2q1rk1/p5pp/3n4/2ppN1P1/1p1p1PP1/1P1P4/P1P4Q/2K1R3 b - - 2 27,d6b5 e1h1 h7h6 g5h6 d8f6 g4g5 f6f5 c1b2 g7g6 h6h7 g8h8 h2h6
34027,3R4/pb4p1/1p2p1kp/5p2/6n1/6P1/PP2P2P/6K1 b - - 5 29,g6f7 d8d7 f7f6 d7b7
34028,2k5/8/8/8/Pp1P1P2/1P2PKR1/1r6/8 w - - 3 57,e3e4 b2b3 f3e2 b3g3
34029,k2q4/5pR1/4pP2/p2pP3/p1bN2K1/P1P4r/1P1Q4/8 b - - 2 42,d8h8 d2g5 a8a7 g7f7
34030,1r1R2k1/5p1p/6pP/2p1r3/ppP3B1/6n1/PP6/1K1R4 b - - 1 30,b8d8 d1d8 e5e8 d8e8
34031,r4rk1/5p1p/1R4p1/p7/Pn3Bn1/1QP2N2/4qPPP/3R2K1 w - - 0 24,c3b4 e2f2 g1h1 f2b6
34032,r1q1b1k1/p1pr2p1/1pp2p2/5Np1/4Q3/8/PPP2PPP/R2R2K1 b - - 5 21,d7d1 a1d1 e8g6 f5e7
34033,2rr4/p4pkp/4p1p1/qp1p4/3P1B1P/2PBP1P1/P1Q5/2K4R w - - 0 24,f4e5 f7f6 e5f6 g7f6
34034,2r5/5pbk/4p2p/1pBpP1p1/p2P4/P3PR1P/1P3QPK/3q4 b - - 5 38,c8c7 f3f7 c7f7 f2f7
34035,3r1r1k/4Q2p/p1R2p2/1pP3p1/1P6/P5P1/2qN1P1P/6K1 w - - 3 35,c6f6 f8e8 e7f7 c2d2
34036,4r3/5pkp/5np1/p1p3Q1/8/PqN5/1P3PPP/3R2K1 w - - 0 23,g5c5 b3d1 c3d1 e8e1
34037,5qk1/pp4p1/2pp3p/5Q2/2PPP1P1/1P3K2/P7/8 w - - 3 38,e4e5 d6e5 d4e5 g7g6 f5f8 g8f8
34038,2b2k1n/6pp/8/3p1P2/2pb4/r6P/2p1B1K1/2R1NR2 b - - 0 30,h8f7 e1c2 d4b2 c2a3
34039,2r2rk1/p5p1/3q3p/5p2/1p2p3/1PBBP1P1/P1QR1P1P/6K1 b - - 0 31,b4c3 d3c4 c8c4 d2d6
34040,8/1b3N2/pp1p2p1/2pP4/2P2kn1/1P6/P5PP/6K1 b - - 0 32,f4e4 f7d6 e4d3 d6b7
34041,2r1r1k1/pp3ppp/8/3q2NP/1P2pn2/P2p1B2/1P1Q1P2/1K1R3R w - - 0 27,f3g4 e4e3 f2e3 c8c2 d2c2 d3c2
34042,2r3k1/R5p1/5pnp/4p3/4P3/1rP2N1P/5PP1/3R2K1 b - - 3 40,b3c3 d1d7 g8h8 d7g7
34043,1r1q2k1/5p1p/b3p1p1/8/8/2Q1P3/1P3PPP/R5K1 w - - 0 24,a1a6 d8d1 c3e1 d1e1
34044,5R2/6pk/8/3pN3/4n1K1/4P2P/6r1/8 w - - 1 35,g4f4 g7g5 f4f3 g2f2 f3g4 f2f8
34045,8/p4p2/4kp1p/1pp5/4PK2/1P5P/P4PP1/8 w - - 0 29,f4g4 e6e5 g4f3 e5d4
34046,3r3k/ppqr1Bp1/1np2nQp/4p3/1b2P3/2N1B2P/PPP2PP1/R4RK1 w - - 3 20,e3h6 d7f7 h6g7 f7g7
34047,6r1/1k6/8/1p6/1P4P1/2B3K1/p7/5R2 w - - 0 42,g3f4 g8f8 f4e5 f8f1
34048,1k1r1r2/1b1P1N2/p7/2p3p1/P7/1P5Q/6P1/2R3RK w - - 1 41,h3f5 f8h8 f7h6 h8h6 f5h3 h6h3
34049,r5k1/ppp1rppp/3bq3/6N1/3P1PP1/P1PN1Q2/1P3K2/7R b - - 4 24,e6g6 h1h7 g6h7 g5h7
34050,6k1/pp1b1pp1/1np2p1p/8/2PP1q2/1P1B3P/P2Q1PP1/2K1N3 b - - 2 22,f4d4 d3h7 g8h7 d2d4
34051,8/3k2P1/bpp2R2/4P3/3r4/5KP1/6P1/8 b - - 0 45,a6c4 e5e6 c4e6 f6e6 d7e6 g7g8q
34052,8/1p5p/8/4p1p1/3N1k2/1P1K4/P4PP1/8 w - - 0 36,d4f3 e5e4 d3d2 e4f3
34053,2kr3r/pp3pp1/8/2pRQ3/4P1qp/8/PPP2PPP/5RK1 w - - 1 20,f1d1 g4d1 d5d1 d8d1
34054,7k/6p1/R6p/1p6/3p2P1/8/PPr4P/7K w - - 0 29,b2b3 d4d3 a6d6 d3d2
34055,7r/pp3k2/2p2Bnp/3r3Q/8/8/P1P3PP/4qR1K w - - 0 21,h5d5 c6d5 f1e1 f7f6
34056,5r2/8/1PkN4/6p1/6Pn/6K1/5PnP/R2R4 w - - 1 37,b6b7 f8f3
34057,4r3/5NkP/1p4P1/2p2b2/2Pp4/P5R1/5r2/K1B5 b - - 6 42,f5g6 h7h8q e8h8 f7h8
34058,5k2/p1r3pp/b2p4/3B4/4p3/2P5/P1P3PP/1R2K3 w - - 2 24,d5e4 c7e7 b1b8 f8f7
34059,8/p1r1B1p1/1p2p1k1/4bp2/7P/8/P3bPP1/1B2R1K1 w - - 4 28,e1e2 c7c1 e2e1 c1e1
34060,1k1r3r/ppp1b3/q4p2/3P1Q1p/5Rn1/P1N5/1PP2BP1/3R2K1 b - - 6 25,e7d6 f4a4 g4f2 a4a6
34061,8/5ppk/1R2P3/6P1/3r2K1/8/8/8 w - - 1 41,g4h5 g7g6
34062,2r3k1/pR5p/4ppp1/4q3/4P3/4Q2P/P4PP1/6K1 b - - 2 28,a7a5 e3h6 e5c7 b7c7
34063,5bk1/2r1q2p/Q2p2p1/3P1b2/1P6/P1N1Pp2/3B1P2/2KR3R w - - 0 27,a3a4 e7e4 c1b2 e4c2 b2a3 f8g7
34064,1r5k/4q1p1/3p2rp/Q1p1p1b1/P3Pp1P/1P3P2/2P2BP1/3R1RK1 w - - 1 27,h4g5 e7g5 g2g4 f4g3
34065,1r6/2p5/3rb1k1/pP2Qpp1/P2RB3/2b1n1P1/4P2P/5R1K b - - 0 33,e3f1 e4f5 e6f5 d4d6
34066,2r5/2q2pbk/p2p2pp/2r5/2P1BP2/4Q2P/P5PK/2RR4 b - - 0 30,c8e8 e4g6 f7g6 e3e8
34067,8/1R3pk1/2p3p1/1bPB3p/1r1P4/6P1/7P/6K1 w - - 0 35,d5f7 b4b1 g1f2 b1f1 f2e3 f1f7
34068,8/8/3kppK1/3p4/3P1P2/8/8/8 b - - 2 47,e6e5 d4e5 d6e7 f4f5 d5d4 g6g7 e7d7 e5f6
34069,4q1k1/p1p2pp1/7p/3nN3/1Q6/2P2P2/PP1r1P1P/4R1K1 w - - 11 24,b4b3 f7f6 e1e2 d2e2 b3d5 g8h8
34070,1k1b3r/pp2n3/3qQ2p/3P4/8/8/PP4PP/2R2R1K b - - 2 24,d6d5 c1c8 e7c8 e6d5
34071,r4rk1/1R1R2p1/5b1p/p7/6P1/5QP1/3q1PK1/8 w - - 0 27,f3f6 d2d7 f6f8 g8f8
34072,1k2r3/1b6/pq2p2p/1pp1n3/5p2/3B4/PP3PPP/2RQ1RK1 w - - 0 25,d1e2 e5d3 e2d3 e8g8
34073,3r1br1/1pp4k/p2p2pp/1B1Pqn2/8/1P1P3Q/P1P2PRP/1RB4K w - - 0 24,c1b2 e5e7 b1g1 e7f7 b5c4 b7b5
34074,8/1p3p2/2p1p1kP/4P1P1/5K2/2P2B2/8/1b6 b - - 2 37,g6h7 c3c4 b1d3 c4c5
34075,2r3qk/5Rb1/p2p4/2pP1Q2/P1P1P2r/8/5PK1/6R1 b - - 1 33,g7f6 g2f1 g8f7 f5c8 h8h7 c8f5 h7h6 f2f4 h4h5 g1g5 h5g5 f4g5
34076,5q2/r5k1/1p1pQ1p1/1Pp2p2/2Pb4/3P1PP1/5NK1/5R2 w - - 0 37,f2h3 a7e7 h3f4 f8e8 f1e1 e7e6
34077,8/8/1P1Np3/5pp1/7p/1n2k2P/6P1/6K1 b - - 0 45,b3a5 d6c4 a5c4 b6b7 c4d6 b7b8q
34078,r3k1r1/5p1p/p2p1q2/3Pp3/1pQ1Pp2/5N1P/P4PPK/R7 b q - 1 24,a6a5 c4c6 e8f8 c6a8
34079,r7/p1knr1p1/b1p4p/4p1P1/1bP1N3/3RPNP1/P5B1/1K1R4 b - - 0 24,a6c4 d3d7 e7d7 d1d7 c7d7 f3e5 d7e6 e5c4
34080,r3k3/3nqpp1/b3p1p1/PNppP3/Q4P1r/3N4/P5PP/R4RK1 b q - 3 21,a8b8 b5c7 e8f8 c7a6
34081,1Q6/4rk2/p1p1q2p/1p1pP1p1/1P6/P3R2P/5PP1/6K1 b - - 0 36,d5d4 e3f3 f7g6 f3f6 e6f6 e5f6
34082,r3r3/1bkp3p/p2b4/6Q1/1pp5/2N1B1P1/PPP1KPqP/3RR3 w - - 0 23,c3d5 b7d5 d1d5 e8e3 g5e3 g2d5
34083,2bqn1k1/2p2r1p/1p1p1b2/3Pp3/QPP1Np2/5N2/3BRPPP/6K1 b - - 1 22,f7g7 a4e8 d8e8 e4f6 g8f7 f6e8
34084,2r3k1/1brp1ppp/pb6/1p1P3P/3qPQ2/3P2P1/PP3PK1/1RB1R3 b - - 2 25,c7c2 c1e3 d4d3 e3b6
34085,2r3k1/5p2/p5q1/np1p2pR/1Q1P2P1/P3P1B1/1P1n1P2/K2R4 w - - 8 29,b4d2 a5b3 a1a2 b3d2 g3e5 f7f6
34086,R7/Pq3pk1/4p2p/2Pp2p1/3P4/4Q3/5PPP/6K1 w - - 1 41,a8d8 b7b1 e3c1 b1c1
34087,5rk1/1p3rbp/p5p1/4p3/5P2/P2QB3/6PP/5RK1 w - - 0 34,f4e5 f7f1 d3f1 f8f1
34088,8/8/pp6/2p5/P1PkpK2/1P6/5P2/8 b - - 5 43,d4d3 f4e5 e4e3 f2e3
34089,8/p5p1/P7/1k1P4/1p2p1p1/1K2P1P1/7P/8 b - - 0 44,b5a6 b3b4 a6b6 b4c4 a7a5 c4d4 a5a4 d4c4 a4a3 c4b3 a3a2 b3a2
34090,5r2/p1p1R3/1p1p3Q/P5p1/6P1/2P2rkP/1B3q2/R6K w - - 1 32,a1g1 f2g1 h1g1 f3f1
34091,5rk1/5pp1/p1Q5/2P5/3P4/P4PP1/3r3P/6K1 w - - 2 34,d4d5 f8b8 c6a6 b8b1
34092,5b1r/2pr2p1/3p3p/3Pk3/5p2/2P4q/P3QP2/1R3RK1 b - - 1 29,e5f5 e2e6 f5g5 e6h3
34093,1r1b3k/1p3ppp/2p3b1/p7/P1BQPqn1/2NR4/1PP3PP/4K3 b - - 1 28,g4h2 d4d8 b8d8 d3d8
34094,r5k1/pp1b2p1/2n1p2p/3p4/1q1P1rnP/2N2N2/PPQ2P2/1BK3RR b - - 3 20,g4f6 g1g7 g8g7 c2g6 g7f8 g6h6 f8e7 h6f4
34095,6kn/2p1bpp1/pp2p2p/4n2P/1PP1N3/P1q3P1/5P2/2B1QBK1 b - - 1 31,c3a3 c1a3 e5f3 g1h1 f3e1 b4b5 a6b5 a3e7
34096,6k1/p5pp/1p6/3pP3/4q2P/P2N4/1P2r3/1K1Q3R w - - 1 40,h1e1 e2e1 d1e1 e4d3
34097,8/1p4k1/5p2/3P1Qnp/4P1P1/P2P2K1/7B/7q w - - 2 52,f5d7 g7h6 d7f5 h5h4 g3f2 h1h2
34098,3rk2r/3qnppp/p2b4/2Bp4/1P6/P1N5/2P3PP/R2QR1K1 w k - 5 23,c3d5 d6c5 b4c5 d7d5 d1d5 d8d5
34099,6r1/2p2kn1/p2p2R1/1p1N3p/5r2/1P6/P1PP4/2K3R1 b - - 4 28,f4f1 g1f1 f7g6 d5e7 g6h7 e7g8
34100,2k5/1ppr4/p6p/6p1/5p2/P7/1PQBq3/1KR5 w - - 3 30,d2f4 e2c2 b1c2 g5f4
34101,2r2bk1/5ppp/1np2p2/1p6/1P1P3N/1bP3P1/qBQ2PBP/1R4K1 w - - 12 22,b1a1 a2a1 b2a1 b3c2
34102,8/8/1pB1k1p1/3p1p1p/1P1KbP1P/4P1P1/8/8 b - - 11 38,e6d6 c6e8 d6e6 e8g6
34103,8/1p6/p1p1k3/P1Rr1pp1/1P1P2P1/4PK2/8/8 b - - 0 39,d5c5 b4c5 f5g4 f3g4 e6d5 g4f5 g5g4 f5f4
34104,1q6/8/6kp/R5p1/8/2Q4P/1P4PK/5r2 w - - 3 53,c3g3 f1h1 h2h1 b8g3
34105,5r1k/p2q2b1/1p1P1n1p/4p1p1/8/1Q2p1pP/PP2PPK1/2RRB3 w - - 0 27,f2g3 g5g4 h3h4 d7f5 b3e3 f6d5
34106,8/2p1qpk1/1pbb2p1/3p2Np/3Pn2P/2PQ1NP1/PPB2P2/1K6 w - - 9 27,d3e2 e4c3 b2c3 e7e2
34107,2k5/r1p2ppp/8/3p4/3P4/2q1P3/5PPP/2R3K1 w - - 0 29,c1c3 a7a1 c3c1 a1c1
34108,2k4r/1pp2Q1p/p4p1b/8/8/1B6/PPP2q1P/1K1R4 b - - 0 22,h6g5 f7g7 h8d8 b3e6 c8b8 d1d8
34109,k2r4/pb4p1/1p6/2b1QP2/2B5/q7/3R4/1R3K2 b - - 0 32,d8d2 e5e8 d2d8 e8d8 b7c8 d8c8
34110,8/6Kp/4Q1p1/8/6P1/2k5/6q1/8 b - - 3 58,c3d2 e6a2 d2e3 a2g2
34111,2r2br1/p2p1kp1/N6p/1p6/2N1PB2/3P1K2/PPP5/R7 w - - 0 21,c4d6 f8d6 f4d6 c8c6 a6b4 c6d6
34112,3r1r1k/p2q2p1/7p/4Q3/8/8/PPP1RPPP/R5K1 w - - 1 22,c2c4 f8e8 e5e8 d8e8 e2e8 d7e8
34113,r4rk1/7p/3p2pb/1p1Pp1q1/p3Pn2/P3BP2/1P1QB1PR/2K3R1 w - - 5 26,g1h1 f4e2 c1d1 g5e3 d2e3 h6e3
34114,3r3r/p1Q1kqp1/3p3p/1p2p3/1P2P3/Bb3N2/n4PPP/R2R2K1 b - - 3 22,d8d7 c7d7 e7d7 f3e5 d7e7 e5f7
34115,3r4/5p1p/R3p1pk/pPq1P3/P1p4P/2Q5/1P3PP1/6K1 w - - 6 35,a6a5 d8d1 g1h2 c5f2
34116,2r3k1/3bbp1p/5p2/8/3P4/1R2PN2/2p2PPP/2R3K1 w - - 0 27,b3b2 e7a3 b2c2 a3c1 c2c8 d7c8
34117,4r1k1/ppp2ppp/3p2bq/4r1R1/2P1P3/2NBKQ2/PP6/6R1 w - - 4 23,e3f2 e5g5 g1g5 h6g5
34118,8/p6N/1p4p1/1P2BpP1/P1n2P2/3k3P/3b4/3K4 w - - 1 49,h7f6 c4e3
34119,1r3rk1/1p3pbp/p5p1/2q1nb2/5N2/P1BP1PP1/2Q3BP/1RR4K b - - 1 23,e5d3 f4d3 f5d3 c2d3
34120,2q2r2/R4p1p/3ppkp1/2p3N1/2P4P/8/1r3PP1/4R2K b - - 0 26,f8h8 a7f7
34121,5r2/4R2P/6K1/8/7P/8/3kp3/8 b - - 2 92,e2e1q e7e1 d2e1 g6g7
34122,8/6p1/7p/3nNP2/3p3P/5P2/2k2KP1/8 w - - 0 42,g2g4 d4d3 e5c4 d3d2 c4d2 c2d2
34123,R4bk1/7p/1p4p1/2p1p3/2N1P3/1Pq2rPP/P4Q1K/8 w - - 2 33,f2d2 c3d2 c4d2 f3f2 h2g1 f2d2
34124,5rk1/pp4pp/5p2/q2p3Q/3Pn3/1P2P2P/P4PP1/2R3K1 b - - 4 24,a5a2 h5d5 g8h8 d5e4
34125,1r6/3kn1R1/5p2/Bq2pP2/1PppP3/7p/1KP1Q2P/R7 w - - 1 34,a1a3 c4c3 b2b3 b5e2
34126,r6r/pp1qnk2/2p2pb1/2Pp3p/3P2pN/7P/PP2QPP1/R3RNK1 b - - 1 21,g4h3 e2e7 d7e7 e1e7 f7e7 h4g6
34127,6r1/pp3p1k/3p3p/2p1r3/4N2P/3P4/PPR2PP1/6K1 b - - 1 33,e5d5 e4f6 h7g7 f6d5
34128,8/1p1k4/5p2/2P2P2/1P3K1p/P5pP/1n6/4R3 w - - 3 37,e1e6 g3g2 e6e1 b2d3 f4e3 d3e1
34129,3k4/pB6/2P2K1p/P5p1/8/6P1/3r2P1/8 b - - 10 46,d2g2 c6c7 d8c7 b7g2
34130,8/7p/8/2k1p3/6PP/4K3/8/8 b - - 0 40,h7h6 g4g5 h6g5 h4h5
34131,6r1/4P1pk/5p1p/1p2p3/3r4/P7/1PP3RP/2K3R1 b - - 0 30,d4d7 g2g7 g8g7 g1g7 h7g7 e7e8q
34132,8/3b2n1/4k3/4P1Kp/1pP3pP/1P4P1/1PN5/8 w - - 5 55,g5h6 g7f5 h6h5 e6e5
34133,b7/4Q1kp/p4pp1/1p6/7P/2P3PK/PP1r1q2/6R1 b - - 1 33,g7h6 e7f8 h6h5 g3g4
34134,r5k1/2B2pbp/6p1/pb6/8/P2PP3/2K2PPP/5B1R w - - 0 23,d3d4 b5f1 h1f1 a8c8 c2d3 c8c7
34135,2r5/1p1k2p1/p3p2n/3pPbNQ/5P2/2B5/PPq3PP/3R3K w - - 8 26,h2h3 f5g4 d1d5 e6d5
34136,5rk1/ppp3pp/5q2/3P4/P3p3/BP1QP3/6PP/R5K1 w - - 0 25,d3d4 f6f2 g1h1 f2f1 a1f1 f8f1
34137,r6k/p1pq1rp1/1p3p1p/3p1P1Q/2P3P1/1P1n3R/P4PKP/2B1R3 w - - 2 29,c1h6 d3e1 g2f1 g7h6 h5h6 f7h7
34138,8/1pbk2R1/p1p5/3p4/1PP5/P2P1r1p/5r1P/4R2K b - - 3 37,d7d6 c4c5
34139,5rk1/pp3p1R/4pBp1/3nP3/3P4/5K2/r3BP2/6R1 b - - 0 29,g8h7 g1h1 h7g8 h1h8
34140,1rr3k1/4q1pp/pQ2pn2/P2p1p2/1P6/4PN2/2R2PPP/1R4K1 b - - 5 28,b8b6 c2c8 f6e8 a5b6
34141,4r1k1/1bpp1Bpp/p7/1p6/8/7R/PqPQ1PPP/6K1 b - - 0 22,g8h8 h3h7 h8h7 d2d3 e8e4 d3h3 e4h4 h3h4
34142,6bk/ppr3p1/3bRN1p/2p5/6Pq/PP6/1B3P2/Q3R1K1 w - - 1 34,f6g8 h4g4 g1f1 g4h3 f1e2 h3e6
34143,6k1/r4ppp/p1B1r3/1P6/8/4P1P1/5P1P/R4K2 b - - 2 31,g7g6 b5b6 a7c7 b6b7 c7b7 c6b7
34144,1r3r1k/p5pp/8/3Q4/1P1N4/P3P1qP/3n2P1/2R1R2K w - - 1 28,d4e6 d2f3 g2f3 g3h3 h1g1 h3g3
34145,1Q6/2p1p1kp/5bp1/8/8/4Bb2/PPP2P1q/2KR2R1 w - - 2 24,d1d8 h2g1 c1d2 g1d1
34146,4rrk1/1N1P2p1/p1P4p/8/P2Q4/5pPq/1P3P2/R5K1 w - - 0 40,d4d5 e8e6 d5f3 f8f3 d7d8q g8h7
34147,6k1/3n2p1/p2P3p/1p1p2b1/1PpB4/P1P3R1/4r1P1/6K1 b - - 3 35,d7f6 g3g5 h6g5 d4f6 g7f6 d6d7
34148,1R1n1k2/1b2bpp1/1B1p1n1p/4p3/4P3/5N2/PP3PPP/6K1 b - - 5 28,f8e8 b6d8 e7d8 b8b7
34149,8/1p3p2/p3pp1p/P2k3b/1P3P2/2K1P1P1/2B4P/8 w - - 1 35,c3d3 h5g6 e3e4 g6e4
34150,4r3/p5kp/1pbP2p1/2p5/5P2/P7/1PB2K1P/3R4 b - - 2 28,g7f6 d6d7 c6d7 d1d7
34151,2Q5/1p2q1k1/p3p2p/3p4/P2P4/4RP2/1r3KPP/8 w - - 3 37,e3e2 e7h4 f2e3 b2b3 e3d2 h4d4
34152,8/8/8/8/5p1k/5Kpp/8/5B2 w - - 2 74,f3f4 g3g2 f1g2 h3g2
34153,r4rk1/5p2/1q1p2bp/1p1P2p1/4p3/P1Q1N1P1/4B1PP/5R1K b - - 3 28,a8a5 e3g4 a5a4 g4f6 g8h8 f6d7 b6d4 c3d4 a4d4 d7f8
34154,4R3/r5p1/1p2p1k1/2bpP1p1/6P1/2P1P2P/4K2B/8 w - - 6 40,e8e6 g6f7 e6c6 a7a2 e2d3 a2h2
34155,r1b1rnk1/2p1qn1p/pp1p2p1/3Pbp2/4P3/2NBB2P/PPPNQ1P1/3R1RK1 w - - 0 19,e4f5 e5c3 b2c3 e7e3 e2e3 e8e3
34156,4rrk1/1p4p1/p2p2qp/2pPp3/P1P4b/3PQpP1/1P3P1N/R4RK1 w - - 0 26,h2f3 h4g3 f2g3 g6g3
34157,6R1/p6p/6pk/3B1p2/8/1N2n1PK/7P/1r6 w - - 12 41,d5f7 g6g5 g8g5 h6g5
34158,8/8/5kp1/7p/4KP1P/8/8/8 w - - 4 63,e4d4 f6f5 d4e3 f5g4 e3e4 g4h4 f4f5 g6f5
34159,1r6/3kq3/p4p1p/2pP1Rp1/2P1P1P1/P7/5QP1/6K1 w - - 0 33,f5f6 b8b1 g1h2 e7e5 g2g3 b1b2
34160,3r2k1/pp2qp2/7Q/2p4N/2Pp2P1/1P1b3P/P4PB1/2R1r1K1 w - - 1 29,c1e1 e7e1 g1h2 e1e5
34161,r7/2p1q1k1/p2p4/1p4pQ/2nP1P2/P5B1/2P3PP/5RK1 w - - 1 27,h5g5 e7g5
34162,r2q4/1p4k1/p2p4/2p1p1nP/6Qb/1PPP4/1P3PP1/R4RK1 w - - 0 24,g4h4 g5f3 g2f3 d8h4
34163,r5k1/1p3ppp/4p3/2RpB3/1Pn5/r6P/4BPP1/2R3K1 b - - 5 28,c4e5 c5c8 a8c8 c1c8
34164,6rk/1R1Q2pp/p4p2/3B4/1P6/P6P/5qP1/5n1K b - - 6 36,f1e3 d7g7 g8g7 b7b8 g7g8 b8g8
34165,6k1/4r1pp/p1N5/1p1p4/1P1r4/P5Pb/5P1P/2Q3K1 b - - 1 32,d4c4 c6e7
34166,5rk1/1b1q2p1/3Np1Qp/2p1Pp2/2pP3R/4P3/1r4PP/5RK1 w - - 0 26,h4h6 b2g2 g6g2 b7g2
34167,6r1/1bq1bkPQ/p2pprp1/8/1p1NP3/2N5/PPP2P2/2K3RR w - - 1 24,e4e5 d6e5 d4e6 f6e6
34168,4Q3/1bP3pk/p4p2/1p6/5P2/P1N4P/1Pq3PK/8 w - - 7 52,c7c8q c2g2
34169,5b2/3B4/8/3Pp2p/1p2Pp1k/1P1K1P1P/P7/8 w - - 1 42,d3c4 h4g3 d5d6 f8d6
34170,2k2Q2/2p5/Npp5/5p1p/P4PbP/1PKP4/2P1r3/2r5 b - - 7 36,c8b7 f8b8 b7a6 b8a8
34171,6k1/1p3ppp/1q2pP2/1p1p2P1/3P3Q/PP3r2/6K1/1R6 b - - 1 35,f3d3 b1h1 d3d2 g2f3
34172,8/p3bp2/4p1p1/1ppkP3/4NPKp/2Pr1P1P/PP2R3/8 b - - 1 29,a7a5 e4f2 c5c4 f2d3 c4d3 e2e3 d3d2 e3d3
34173,R4rk1/2pbq1np/1p1p2pQ/3Pp1N1/1PP5/7P/5PP1/6K1 b - - 2 31,g7f5 a8f8 e7f8 h6h7
34174,8/1pR5/3k1p2/p5P1/P2P1K2/1rP5/8/8 w - - 1 37,g5f6 d6c7 f6f7 b3b1
